country,city,count
Colombia,Bogotá,"1,456"
Colombia,Medellín,328
Mexico,Mexico City,173
Colombia,Santiago de Cali,99
Ecuador,Quito,78
Mexico,Guadalajara,70
Chile,Santiago,65
Mexico,Puebla City,56
Mexico,Gustavo Adolfo Madero,55
Mexico,Querétaro City,44
Spain,Madrid,43
Mexico,Iztapalapa,41
Peru,Lima,39
Mexico,Zapopan,39
Costa Rica,San José,39
Colombia,Barranquilla,38
Mexico,Tijuana,38
Mexico,Cuauhtémoc,38
Colombia,Chía,34
Colombia,Bucaramanga,33
Mexico,León,33
Mexico,Azcapotzalco,30
Spain,Barcelona,30
Mexico,Monterrey,25
Colombia,Pereira,24
Mexico,Mérida,23
Argentina,Buenos Aires,23
Mexico,Miguel Hidalgo,21
Colombia,Soacha,20
Mexico,Venustiano Carranza,19
Argentina,Buenos Aires,19
Guatemala,Guatemala City,19
United States,Chicago,19
Mexico,Toluca,17
United States,Miami,17
Ecuador,Guayaquil,16
Colombia,Tunja,15
Bolivia,La Paz,15
Colombia,Villavicencio,15
United States,Los Angeles,15
Australia,Melbourne,14
Mexico,Cuautitlán Izcalli,14
Mexico,Aguascalientes,14
Colombia,Ibagué,13
Mexico,Oaxaca City,13
Mexico,Chihuahua City,13
Mexico,Tuxtla Gutiérrez,13
Mexico,Álvaro Obregón,13
Mexico,Iztacalco,13
United Kingdom,London,12